ECON INL FW PRESS;DRUM PRESS;MN STM PRESS;CRH STM PRESS;HRH STM PRESS;COND VAC WIDE;ECON INL FW TEMP;MN STM TEMP;CRH STM TEMP;HRH STM TEMP;COND INL CW TEMP;COND  OUTL CW TEMP;AHTR PA OUT TEMP ;AHTR OUTL SECA TEMP ;AHTR OUT FG TEMP ;AHTR B OUT FG TEMP 4;PULV  INL PA TEMP;PULV  OUTL COAL/AIR TEMP;MAIN SPRY WTR FLOW;MN STM FLOW;RHR ATM SPRY WTR FLOW;TOT AIR FLOW FD FAN;TOTAL PA Flow;TOT COAL FLOW;GEN OUT MW;FGD SYS INLET NOX;FGD SYS INLET SOX;FGD SYS OUTLET SOX;A/H Outlet O2;Eff Thermal
190.235;185.736;167.636;37.982;35.995;-0.916;287.869;540.875;335.248;533.468;30.000;38.000;344.822;352.724;159.500;153.324;281.437;70.575;169.318;2138.373;5.335;2168.332;509.895;305.181;708.448;635.989;1803.614;599.309;2.708;35.611
190.409;185.717;167.685;37.982;35.995;-0.916;287.869;540.875;335.689;533.793;30.000;38.000;345.000;352.625;159.500;153.381;281.054;70.575;171.050;2139.209;5.325;2168.294;508.016;305.447;709.181;634.214;1816.079;608.202;2.770;35.572
190.143;185.425;167.479;37.929;35.973;-0.916;287.897;540.408;335.156;533.965;30.000;38.000;345.156;352.625;159.500;153.500;280.534;70.575;168.515;2134.937;5.356;2168.642;507.692;305.362;708.965;632.613;1806.962;607.620;2.823;35.527
190.087;185.323;167.367;37.897;35.973;-0.916;288.065;539.639;334.757;534.049;30.000;38.000;345.250;352.625;159.500;153.614;280.438;70.484;167.120;2133.210;5.228;2167.592;508.997;305.456;708.538;637.196;1801.496;605.267;2.748;35.515
190.296;185.584;167.654;37.897;35.973;-0.917;288.065;540.183;334.834;534.401;30.000;38.000;345.250;352.625;159.500;153.750;280.446;70.463;168.777;2134.967;5.585;2167.220;508.221;305.173;709.280;642.387;1802.665;597.151;2.642;35.591
190.364;185.594;167.901;37.897;35.973;-0.917;288.065;540.875;335.503;534.946;30.000;38.000;345.329;352.536;159.456;153.787;280.028;70.463;172.095;2136.399;5.213;2169.308;508.473;305.418;710.005;643.075;1811.354;595.372;2.667;35.605
190.683;185.985;168.124;37.897;35.982;-0.917;288.065;540.653;335.334;534.830;30.000;38.000;345.500;352.516;159.340;154.156;279.479;70.678;171.654;2139.003;5.290;2168.462;506.733;305.752;710.477;641.113;1821.613;601.256;2.717;35.603
190.694;186.051;168.124;37.976;36.041;-0.917;288.032;539.587;334.505;534.348;30.000;38.000;345.500;352.093;159.008;154.250;279.041;70.688;167.077;2140.746;5.089;2168.207;506.230;305.389;711.005;637.534;1809.885;609.116;2.760;35.634
190.694;186.051;168.124;38.019;36.041;-0.916;287.955;538.832;334.375;534.103;30.000;38.000;345.500;352.078;159.010;154.250;278.967;70.593;163.997;2139.872;5.143;2168.480;508.397;305.514;711.205;636.100;1798.381;604.083;2.720;35.598
190.694;186.051;168.124;38.019;36.041;-0.916;287.955;539.994;334.563;534.072;30.000;38.000;345.500;352.078;158.787;154.250;279.434;70.537;165.339;2139.872;5.278;2172.673;509.700;305.447;711.479;638.444;1796.834;597.023;2.711;35.643
190.694;186.051;168.180;38.019;36.041;-0.916;287.955;541.063;335.242;534.602;30.000;38.000;345.500;352.078;158.794;154.250;279.395;70.581;170.937;2141.350;5.226;2171.736;509.833;305.506;712.130;639.587;1805.751;600.002;2.733;35.673
